,logFC,logCPM,PValue,FDR
hsa-miR-3613-3p,0.777651904,7.932812859,0.061618676,1
hsa-miR-4697-5p,0.664176098,6.246604321,0.062001034,1
hsa-miR-6743-3p,0.779077702,8.948244942,0.062325873,1
hsa-miR-6770-5p,0.758881893,6.148769113,0.06254443,1
hsa-miR-6862-3p,-0.787333465,8.496140538,0.062794441,1
hsa-miR-5009-3p,1.042296102,4.929934007,0.063022857,1
hsa-miR-106b-5p,-1.190109525,6.507310986,0.064066329,1
hsa-miR-502-3p,-0.769104995,5.036399993,0.064225551,1
hsa-miR-6863,-0.729060074,9.586186829,0.065561538,1
hsa-miR-6766-3p,-0.690629489,6.3579874,0.065821992,1
hsa-miR-21-5p,-0.725023618,14.67476341,0.066220407,1
hsa-miR-1261,-1.207095265,5.676584891,0.066662187,1
hsa-miR-95-3p,-0.777024423,7.977332257,0.067982963,1
hsa-miR-143-3p,-0.703441759,13.66347127,0.068313391,1
hsa-miR-8063,0.844593627,6.825900055,0.069116878,1
hsa-miR-6762-5p,0.645036929,5.672450312,0.070666525,1
hsa-miR-941,-0.625009438,6.631781966,0.070737784,1
hsa-miR-28-3p,-0.751833,10.35640179,0.071778524,1
hsa-miR-4773,-1.71782115,4.450460927,0.07219114,1
hsa-miR-6888-5p,0.625837658,6.501129263,0.072301532,1
hsa-miR-6770-3p,0.544590375,6.65014175,0.072843713,1
hsa-miR-6734-3p,-0.870406813,7.494103568,0.073490348,1
hsa-miR-5579-5p,0.64219697,5.595923926,0.073662194,1
hsa-miR-5571-3p,1.921828747,4.25915061,0.074070033,1
hsa-miR-3171,0.89258983,6.173655893,0.074327382,1
hsa-miR-6871-3p,0.564732781,7.404352528,0.074426561,1
hsa-miR-4257,-0.860080085,5.725271918,0.074904385,1
hsa-miR-4727-3p,0.62200123,5.344391681,0.075378047,1
hsa-miR-1225-3p,-0.645214449,6.347654284,0.075558072,1
hsa-miR-6893-3p,0.679217762,5.625928903,0.076313591,1
hsa-miR-16-5p,-0.755956919,15.7584783,0.076706808,1
hsa-miR-429,-1.116881338,6.888482594,0.076735569,1
hsa-miR-369-3p,-0.711478399,6.889256338,0.077633618,1
hsa-miR-6796-5p,-0.910004052,8.053727218,0.078108076,1
hsa-miR-4690-3p,0.733515434,5.454713935,0.079544303,1
hsa-miR-5704,0.578776597,6.566385796,0.079901395,1
hsa-miR-4314,-2.596644593,5.078796165,0.080727689,1
hsa-miR-1304-5p,-1.460662499,5.29345866,0.081197212,1
hsa-miR-380-3p,1.765872584,4.655303825,0.081695276,1
hsa-miR-6808-5p,-0.969845817,6.372752675,0.08211674,1
hsa-miR-668-3p,-0.927787491,6.176313009,0.082545002,1
hsa-miR-93-3p,-0.792870245,7.924139701,0.083126716,1
