,logFC,logCPM,PValue,FDR
hsa-miR-363-3p,-1.49355444375068,6.12812007131316,0.0346467236544136,0.752375114677821
hsa-miR-4299,0.800962984251407,4.99645068488305,0.0348875219471092,0.752375114677821
hsa-miR-1909-5p,-1.20165338337059,8.39449087540651,0.0349595950468191,0.752375114677821
hsa-miR-6719-3p,1.14065115026613,4.52216342497033,0.0357539516824536,0.756980106700296
hsa-miR-4658,0.848032351518668,5.91252798044774,0.0359219427796482,0.756980106700296
hsa-miR-1249-3p,-1.21957550229225,8.78477995553093,0.0368237437317871,0.767983851230983
hsa-miR-5008-5p,1.52044997006701,6.45789452356659,0.0377108861658466,0.776368478376582
hsa-miR-200c-5p,-1.39633428232136,6.57060037687467,0.0379933165394373,0.776368478376582
hsa-miR-6875-3p,0.779646137800151,5.82637261994322,0.0386080660465442,0.781041176121589
hsa-miR-3936,0.78359702707664,8.82174050918546,0.0398730910118776,0.798646169475529
hsa-miR-423-3p,-0.782129696267481,8.9690930424411,0.0410182832285694,0.803386367404384
hsa-miR-450a-1-3p,-1.16635611624928,5.8447175870623,0.0412433005871154,0.803386367404384
hsa-miR-4780,-1.24423649953252,6.43016319147069,0.0418749123003748,0.803386367404384
hsa-miR-3168,1.04440718330691,9.26854749473763,0.0420086697713731,0.803386367404384
hsa-miR-2113,-1.27427317971502,5.47964050691226,0.0420953805955831,0.803386367404384
hsa-miR-5009-3p,1.05808158503056,4.93508729526831,0.0429079013631758,0.805627754827593
hsa-miR-224-5p,-1.48266712259242,7.41782763884924,0.0430092919037964,0.805627754827593
hsa-miR-4800-3p,0.888845766926755,5.8496459245636,0.0443462989586771,0.822512948571065
hsa-miR-2276-3p,-0.867051717334276,6.01799636791558,0.0447238874655547,0.822512948571065
hsa-miR-142-5p,-1.19900085466104,8.78226714777558,0.0458235192428782,0.835143958813897
hsa-miR-4709-5p,0.747225853598577,5.78014471353784,0.0463416110999862,0.837045350493501
hsa-miR-4661-5p,-0.877696199530771,5.60028307552099,0.0469035368527741,0.837173840519059
hsa-miR-10a-3p,-0.741925455320877,5.53344261742597,0.0471763805334517,0.837173840519059
hsa-miR-506-3p,-1.05685360709143,5.23049071124186,0.0489134425739356,0.853240429272272
