miRNA,46-UMIs,31-UMIs,56-UMIs,1A-UMIs,24-UMIs,57-UMIs,58-UMIs,54-UMIs
hsa-miR-17-3p,5,15,16,15,9,13,20,11
hsa-miR-17-5p,23,32,60,58,43,65,49,71
hsa-miR-181a-2-3p,17,19,19,20,25,48,40,23
hsa-miR-181a-3p,28,91,37,53,25,138,144,26
hsa-miR-181a-5p,148,139,111,74,138,157,203,120
hsa-miR-181b-2-3p,15,9,25,0,13,12,27,0
hsa-miR-181b-3p,0,0,0,8,0,0,0,12
hsa-miR-181b-5p,98,64,50,45,51,89,126,57
hsa-miR-181c-3p,43,42,60,48,46,80,70,58
hsa-miR-181c-5p,32,20,31,24,33,22,31,23
hsa-miR-181d-3p,10,21,20,26,13,25,30,12
hsa-miR-181d-5p,18,30,23,17,11,27,31,17
hsa-miR-182-3p,20,10,20,14,4,11,39,43
hsa-miR-182-5p,44,68,76,27,94,50,381,228
hsa-miR-1825,22,20,19,13,9,8,12,13
hsa-miR-1827,24,32,39,19,36,26,30,27
hsa-miR-183-3p,21,29,18,23,12,38,102,25
hsa-miR-183-5p,16,39,60,37,49,36,254,114
hsa-miR-184,28,56,27,47,35,113,71,34
hsa-miR-185-3p,45,47,36,27,29,32,53,41
hsa-miR-185-5p,201,335,398,310,288,282,1219,834
hsa-miR-186-3p,9,25,11,0,11,22,13,0
hsa-miR-186-5p,33,76,146,105,63,99,198,206
hsa-miR-187-3p,66,82,65,77,51,76,197,74
hsa-miR-187-5p,48,35,63,29,42,60,80,38
hsa-miR-188-3p,77,167,192,92,165,170,278,106
hsa-miR-188-5p,7,19,17,24,10,11,19,14
hsa-miR-18a-3p,0,0,16,10,6,5,11,9
hsa-miR-18a-5p,6,18,27,20,25,159,21,20
hsa-miR-18b-3p,8,17,16,0,10,17,17,0
hsa-miR-1908-3p,53,110,124,81,118,129,177,95
hsa-miR-1908-5p,31,90,82,52,47,79,82,57
hsa-miR-1909-3p,27,50,50,38,44,51,49,30
hsa-miR-1909-5p,39,134,149,85,76,141,947,127
hsa-miR-190a-3p,0,0,0,4,0,18,17,13
hsa-miR-190a-5p,37,92,118,121,59,91,119,141
hsa-miR-190b,15,44,29,35,30,48,49,36
hsa-miR-191-3p,20,95,49,49,28,32,44,66
hsa-miR-191-5p,689,1521,2300,2105,1223,1816,2185,3465
hsa-miR-1910-3p,40,36,39,18,23,25,33,64
hsa-miR-1910-5p,11,30,58,37,28,22,65,33
hsa-miR-1911-3p,4,15,16,11,4,69,16,11
hsa-miR-1911-5p,0,0,12,10,5,24,25,9
hsa-miR-1912,12,8,0,0,0,15,21,0
hsa-miR-1913,27,42,43,38,90,73,58,32
hsa-miR-1914-3p,18,23,26,32,20,38,30,32
hsa-miR-1914-5p,25,71,45,35,31,73,61,35
hsa-miR-1915-3p,34,125,93,72,170,147,154,74
hsa-miR-1915-5p,52,101,138,105,53,101,129,95
hsa-miR-192-3p,22,95,81,77,91,110,52,56
hsa-miR-192-5p,104,426,139,159,105,167,437,273
hsa-miR-193a-3p,19,23,18,23,9,14,24,13
hsa-miR-193a-5p,124,289,329,234,217,334,596,229
hsa-miR-193b-3p,9,26,26,11,14,31,38,21
hsa-miR-193b-5p,148,257,125,83,164,761,404,199
hsa-miR-194-3p,7,19,22,16,24,17,26,17
hsa-miR-194-5p,121,204,119,116,62,73,416,146
hsa-miR-195-3p,3,35,33,37,12,57,32,31
hsa-miR-195-5p,282,355,731,274,535,2223,738,1192
hsa-miR-196a-3p,6,17,14,4,5,14,30,16
hsa-miR-196a-5p,33,12,19,24,18,53,80,259
hsa-miR-196b-3p,29,28,17,11,22,90,31,31
hsa-miR-196b-5p,25,41,85,25,49,65,208,114
hsa-miR-197-3p,2396,2912,3685,2648,3278,2399,3499,3797
hsa-miR-197-5p,31,74,42,39,67,61,113,25
hsa-miR-1972,7,27,25,26,12,52,15,17
hsa-miR-1973,3,10,0,0,0,0,0,0
hsa-miR-1976,20,37,33,23,45,47,39,28
hsa-miR-198,8,30,33,17,11,29,26,17
hsa-miR-199a-3p,8913,4870,7475,3637,5618,14994,10888,12146
hsa-miR-199a-5p,106,45,86,47,51,121,180,155
hsa-miR-199b-3p,2032,828,1006,637,877,2496,1660,1986
hsa-miR-199b-5p,19,58,80,60,39,56,104,73
hsa-miR-19a-3p,11,9,44,24,19,40,66,52
hsa-miR-19a-5p,1,52,0,0,0,0,0,0
hsa-miR-19b-1-5p,11,8,0,4,0,6,14,10
hsa-miR-19b-2-5p,11,13,0,0,0,10,11,0
hsa-miR-19b-3p,15,78,134,69,53,140,196,178
hsa-miR-200a-3p,38,27,93,40,50,100,850,243
hsa-miR-200a-5p,21,52,46,43,33,32,78,48
hsa-miR-200b-3p,27,41,121,36,75,124,826,279
hsa-miR-200b-5p,19,18,23,12,17,16,88,40
hsa-miR-200c-3p,34,50,136,69,120,154,1258,261
hsa-miR-200c-5p,16,28,24,26,17,225,55,16
hsa-miR-202-3p,3717,4039,2335,1234,3539,11996,4539,3566
hsa-miR-202-5p,559,1365,2766,1878,1186,4835,2235,3726
hsa-miR-203a-3p,1276,882,5957,656,1211,520,58553,731
hsa-miR-203a-5p,21,37,31,9,9,13,89,14
hsa-miR-203b-3p,38,17,28,23,19,27,138,31
hsa-miR-203b-5p,259,113,552,68,152,56,4569,79
hsa-miR-204-3p,12,20,17,10,13,30,40,17
hsa-miR-204-5p,7,20,47,14,28,60,17,54
hsa-miR-205-3p,13,13,25,9,18,19,42,19
hsa-miR-205-5p,128,144,762,115,135,132,6405,440
hsa-miR-2052,5,11,0,0,0,0,0,0
hsa-miR-206,9,19,12,12,15,26,29,11
hsa-miR-208a-3p,0,0,11,4,8,8,11,10
hsa-miR-208a-5p,85,278,217,186,286,314,244,144
hsa-miR-208b-3p,12,30,28,14,11,10,41,13
hsa-miR-208b-5p,14,13,19,23,6,12,15,10
hsa-miR-20a-3p,0,0,0,0,0,2,14,0
hsa-miR-20a-5p,130,227,305,213,176,277,418,408
hsa-miR-20b-3p,0,0,0,0,0,4,11,0
hsa-miR-20b-5p,44,90,128,91,30,131,109,81
hsa-miR-21-3p,48,57,93,71,50,133,115,105
hsa-miR-21-5p,8638,11834,10417,6031,9939,25382,22812,17782
hsa-miR-210-3p,61,127,241,116,44,187,305,142
hsa-miR-210-5p,11,37,31,19,39,41,46,24
hsa-miR-211-3p,15,37,42,35,25,28,39,17
hsa-miR-211-5p,478,214,320,247,80,145,456,361
hsa-miR-2110,33,101,66,66,74,161,115,41
hsa-miR-2113,13,6,17,7,6,73,26,29
hsa-miR-2114-3p,8,127,0,8,0,0,0,10
hsa-miR-2114-5p,27,97,47,31,36,48,40,27
hsa-miR-2115-3p,8,134,17,8,10,13,18,10
hsa-miR-2115-5p,29,42,59,23,38,27,58,58
hsa-miR-2116-3p,15,21,28,16,12,44,38,19
hsa-miR-2116-5p,43,47,49,39,41,44,92,38
hsa-miR-2117,13,15,30,13,17,12,32,28
hsa-miR-212-3p,52,47,52,59,32,60,131,114
hsa-miR-212-5p,16,15,16,17,22,31,33,36
hsa-miR-214-3p,44,33,57,22,43,66,61,67
hsa-miR-214-5p,7,18,12,5,14,12,17,13
hsa-miR-215-3p,8,12,14,12,10,9,18,12
hsa-miR-215-5p,42,36,43,45,31,16,43,17
hsa-miR-216a-3p,2,10,25,10,10,15,14,13
hsa-miR-216a-5p,10,26,50,20,34,40,60,26
hsa-miR-216b-3p,22,62,75,38,37,53,82,59
hsa-miR-217,64,153,129,203,121,136,293,105
hsa-miR-218-1-3p,58,54,59,67,43,63,108,49
hsa-miR-218-2-3p,449,819,905,1251,554,669,2063,696
hsa-miR-218-5p,31,61,100,41,67,84,114,117
hsa-miR-219a-1-3p,20,30,42,29,24,15,57,19
hsa-miR-219a-2-3p,5,12,13,0,9,10,14,0
hsa-miR-219a-5p,0,0,10,0,8,7,10,0
hsa-miR-219b-3p,12,17,12,8,11,6,24,21
hsa-miR-219b-5p,3681,16799,20853,18329,16345,16325,37705,12035
hsa-miR-22-3p,118,415,450,161,198,582,892,373
hsa-miR-22-5p,46,46,49,16,28,35,47,26
hsa-miR-221-3p,725,658,597,265,288,1365,2279,660
hsa-miR-221-5p,10,11,19,6,2,11,9,12
hsa-miR-222-3p,60,70,120,44,47,240,233,93
hsa-miR-222-5p,15,40,32,17,9,39,64,20
hsa-miR-223-3p,53,462,207,39,192,94,2203,892
hsa-miR-223-5p,26,47,19,20,13,22,105,28
hsa-miR-224-3p,0,0,0,0,0,14,15,0
hsa-miR-224-5p,27,29,94,24,37,30,591,51
hsa-miR-2276-3p,17,22,25,17,24,86,48,25
hsa-miR-2276-5p,20,45,38,28,39,45,64,42
hsa-miR-2277-3p,35,94,77,79,66,84,147,64
hsa-miR-2277-5p,38,45,35,35,18,25,80,26
hsa-miR-2278,7,17,9,0,11,17,15,0
hsa-miR-2355-3p,7,23,41,20,10,9,21,21
hsa-miR-2392,57,135,149,136,194,202,171,99
hsa-miR-23a-3p,532,766,1051,435,365,666,3246,783
hsa-miR-23a-5p,52,68,83,66,66,45,72,44
hsa-miR-23b-3p,226,342,734,364,356,671,1282,858
hsa-miR-23b-5p,18,44,24,18,22,61,52,27
hsa-miR-23c,5,11,0,0,0,0,0,0
hsa-miR-24-1-5p,0,0,13,0,11,4,13,0
hsa-miR-24-2-5p,7,12,0,18,0,9,13,19
hsa-miR-24-3p,219,465,719,369,320,730,1620,789
hsa-miR-2467-3p,12,9,10,8,10,10,19,13
hsa-miR-2467-5p,10,16,19,12,15,14,35,7
hsa-miR-25-3p,1209,1715,1743,1351,1199,2588,4160,2852
hsa-miR-25-5p,119,244,285,217,262,449,264,249
hsa-miR-2681-3p,28,45,78,28,28,35,44,42
hsa-miR-2681-5p,14,14,19,17,20,31,31,30
hsa-miR-2682-3p,70,392,480,407,501,469,240,246
hsa-miR-2682-5p,24,46,31,36,19,22,92,41
hsa-miR-26a-1-3p,12,14,6,9,18,17,5,11
hsa-miR-26a-2-3p,7,11,0,4,0,14,11,13
hsa-miR-26a-5p,2451,2359,4591,1985,2948,5553,4580,7203
hsa-miR-26b-3p,9,20,22,16,38,30,41,15
hsa-miR-26b-5p,882,1138,1782,1113,1315,2146,2584,2786
hsa-miR-27a-3p,460,628,817,506,279,885,2150,815
hsa-miR-27a-5p,11,16,29,18,9,15,19,18
hsa-miR-27b-3p,2665,4406,5939,4468,2088,7675,14281,6396
hsa-miR-27b-5p,73,20,54,21,17,26,72,113
hsa-miR-28-3p,336,411,633,477,405,1367,796,1159
hsa-miR-28-5p,17,60,105,74,92,87,138,77
hsa-miR-2861,54,149,146,142,177,194,202,109
hsa-miR-2909,19,45,53,30,25,37,118,51
hsa-miR-296-3p,112,169,173,78,64,337,140,168
hsa-miR-296-5p,23,83,69,50,108,99,51,36
hsa-miR-298,66,79,80,83,104,84,296,98
hsa-miR-299-3p,22,40,41,26,10,44,42,31
hsa-miR-299-5p,17,40,41,24,25,36,30,57
hsa-miR-29a-3p,710,946,1387,814,592,2712,2067,1841
hsa-miR-29a-5p,10,17,14,0,10,12,16,0
hsa-miR-29b-1-5p,6,15,17,11,2,19,7,11
hsa-miR-29b-2-5p,55,104,166,103,16,37,39,57
hsa-miR-29b-3p,71,36,166,83,78,135,180,209
hsa-miR-29c-3p,410,441,378,282,232,531,1386,772
hsa-miR-29c-5p,27,31,41,32,37,33,66,58
hsa-miR-300,1,13,16,0,6,0,0,0
hsa-miR-301a-3p,3,11,10,5,4,6,14,14
hsa-miR-301b-5p,6,16,14,21,5,14,21,3
hsa-miR-302a-5p,0,0,11,0,7,5,18,0
hsa-miR-302b-5p,15,8,14,5,6,29,17,22
hsa-miR-302c-5p,17,26,15,16,16,27,28,21
hsa-miR-302d-3p,0,0,15,10,14,0,0,7
hsa-miR-302d-5p,0,0,0,4,0,23,13,17
hsa-miR-302e,0,0,10,0,9,12,16,0
hsa-miR-3064-3p,13,15,17,11,6,10,14,12
hsa-miR-3064-5p,124,620,716,222,436,256,560,280
hsa-miR-30a-3p,684,1463,1399,1338,575,1372,1357,1650
hsa-miR-30a-5p,1744,6007,6828,5026,2234,4364,6817,6369
hsa-miR-30b-3p,10,29,20,26,11,18,25,19
