MIMAT0000617,114,47,171,63,169,190,1610,518
MIMAT0000646,72,82,84,61,124,136,93,264
MIMAT0000680,0,5,22,1,9,4,22,15
MIMAT0000681,963,552,437,402,259,655,1323,1212
MIMAT0000682,129,47,136,95,102,152,1248,598
MIMAT0000683,0,0,0,0,0,0,0,0
MIMAT0000684,0,0,0,0,0,0,0,0
MIMAT0000685,0,0,0,0,0,4,1,0
MIMAT0000686,0,15,20,8,74,57,38,45
MIMAT0000687,5,10,4,23,0,52,27,25
MIMAT0000688,23,10,24,18,8,6,31,24
MIMAT0000689,1010,1177,1516,1599,783,1651,752,2890
MIMAT0000690,3,6,13,0,4,4,0,3
MIMAT0000691,104,134,67,103,77,69,156,151
MIMAT0000692,1290,1948,2404,1996,966,2554,3778,5118
MIMAT0000693,253,250,296,264,173,284,307,673
MIMAT0000703,600,397,560,366,462,1113,765,919
MIMAT0000705,0,2,0,0,3,10,1,7
MIMAT0000707,50,15,3,3,22,6,116,107
MIMAT0000710,0,0,0,0,0,0,0,0
MIMAT0000714,0,0,0,0,0,0,0,0
MIMAT0000715,0,0,0,0,0,0,0,0
MIMAT0000716,0,0,0,0,0,0,0,0
MIMAT0000717,0,0,0,0,0,0,0,0
MIMAT0000718,0,0,0,0,0,0,0,0
MIMAT0000719,0,0,0,0,0,0,0,0
MIMAT0000720,19,13,43,10,36,131,71,143
MIMAT0000721,43,23,25,10,5,111,56,90
MIMAT0000722,75,135,127,91,69,182,185,1117
MIMAT0000723,0,0,0,0,0,0,0,0
MIMAT0000724,0,0,0,0,0,0,0,7
MIMAT0000725,0,0,0,0,0,0,0,0
MIMAT0000726,0,0,0,0,0,0,0,0
MIMAT0000727,20,9,24,28,27,55,26,69
MIMAT0000728,407,648,104,134,126,296,1918,193
MIMAT0000729,0,0,0,0,0,0,0,0
MIMAT0000729_1,0,0,0,0,0,0,0,2
MIMAT0000730,29,37,29,9,6,88,49,94
MIMAT0000731,0,0,0,0,0,3,0,7
MIMAT0000732,0,0,0,0,0,0,2,0
MIMAT0000733,434,262,275,182,330,1242,488,2080
MIMAT0000734,0,3,4,4,0,18,2,11
MIMAT0000735,0,0,0,0,0,0,0,3
MIMAT0000736,108,48,93,43,90,266,251,653
MIMAT0000737,3147,1769,806,831,937,6492,2517,5238
MIMAT0000738,6,0,0,0,2,3,0,11
MIMAT0000750,0,5,3,0,5,0,0,0
MIMAT0000751,0,4,7,2,0,0,0,9
MIMAT0000752,28,77,69,51,57,131,13,104
MIMAT0000753,388,447,544,493,516,688,605,1144
MIMAT0000754,0,2,0,0,7,2,1,3
MIMAT0000755,37,102,72,39,72,324,106,348
MIMAT0000756,0,0,4,5,2,0,5,0
MIMAT0000757,285,273,416,393,164,638,490,903
MIMAT0000758,0,21,5,4,2,14,6,9
MIMAT0000759,868,768,684,725,395,1072,936,1308
MIMAT0000760,0,4,15,7,5,4,3,12
MIMAT0000761,41,23,51,46,13,66,72,82
MIMAT0000762,16,7,16,20,0,29,13,43
MIMAT0000763,0,0,0,6,1,1,4,9
MIMAT0000764,69,92,186,266,92,237,99,460
MIMAT0000765,269,145,160,143,133,418,179,420
MIMAT0000770,0,0,0,0,0,0,0,0
MIMAT0000771,0,0,0,0,0,0,0,0
